正面,背面
federal,"adj. 联邦制的, 联邦政府的"
republican,"n. 共和主义者, 共和党人, 爱尔兰..."
congress,"n. 代表大会, 国会, 政治团体, 集会"
campaign,"n. 活动, 战役；v. 进行活动"
factor,"n. 因素, 因数, 倍数, 系数, 因子；..."
decade,n. 十年
authority,"n. 权力, 授权, 当局, 权威, 专家"
democratic,"adj. 民主的, 民主决策的, ..."
impact,"n. 影响, 撞击；v. 影响, 撞击"
reveal,"v. 透露, 展现；n. 揭晓"
candidate,"n. 候选人, 考生, 候选对象"
violence,"n. 暴力伤害, 猛烈"
victim,"n. 受害者, 受骗者, 祭品"
threat,n. 威胁
attorney,"n. 出庭律师, 代理人, 法律文件..."
senate,"n. 参议院, 大学评议会, 元老院"
reform,"n. 改革；v. 改革, 改过自新"
concerned,"adj. 担忧的, 相关的, 关..."
involved,"adj. 参与的, 投入的, 有密切..."
facility,"n. 设施, 场所, 功能, 天赋"
settle,"v. 解决争端, 最终决定, ..."
influence,n. 影响；v. 影响
quarter,"n. 四分之一, 一刻钟, 季度..."
perspective,"n. 视角, 洞察力, 透视法, 远景"
academic,"adj. 学术的, 理论性的, 善..."
negative,"adj. 负面的, 否定的, 拒绝..."
democracy,"n. 民主制度, 民主国家, 民..."
abuse,"n. 滥用, 虐待, 辱骂；v. 滥用, 虐待,..."
domestic,"adj. 国内的, 家庭的, 家..."
nod,"v. 点头, 用头示意方向, 打..."
urban,"adj. 城市的, 都市音乐的"
obtain,"v. 获得, 存在"
instrument,"n. 乐器, 仪器, 仪表, 工具, 工..."
predict,v. 预测
presidential,adj. 总统的
supreme,"adj. 最高级别的, 极度的"
poll,"n. 民意调查, 投票, 投票总..."
proposal,"n. 提议, 求婚"
trail,"n. 痕迹, 踪迹, 小径, *..."
jury,"n. 陪审团, 评审团"
analyst,"n. 分析师, 精神分析师"
revenue,n. 收入
investor,n. 投资者
ethnic,adj. 民族的；n. 少数民族成员
long-term,adv. 长期的
pilot,"n. 飞行员, 领航员, 试播集, 引..."
capacity,"n. 容量, 能力, 身份, 产能,..."
estate,"n. 住宅区, 庄园, 遗产, 旅..."
circumstance,"n. 情况, 生活状况, 境遇"
surgery,"n. 手术, 诊所, 门诊时间, ..."
governor,"n. 总督, 州长, 理事, 主管"
motion,"n. 运动, 手势, 动议, 排便；v. ..."
gender,"n. 社会性别, 语法性别"
bowl,"n. 碗, 一碗的量, 碗状部分..."
eliminate,"v. 完全去除, 排除, 淘汰, 消灭"
regime,"n. 政权, 制度, 养生法"
division,"n. 分开, 除法, 分歧, *..."
variable,"n. 变量；adj. 易变的, 可调..."
perception,"n. 看法, 知觉, 领悟力"
coverage,"n. 新闻报道, 覆盖范围, 覆..."
era,n. 时代
stir,"v. 搅拌, 微动, 促使, 激起, ..."
minister,"n. 部长, 牧师, 公使；v. ..."
intervention,"n. 干预, 干涉, 医疗干预..."
cite,"v. 引用, 引述, 传唤, 表彰"
welfare,"n. 福祉, 社会福利, 福利金"
contemporary,"adj. 同时代的, 现代的, 现..."
household,n. 家庭成员
resolution,"n. 决心, 决议, 解决, 分辨率"
abortion,"n. 人工终止妊娠, 终止妊娠..."
barely,"adv. 勉强地, 几乎不, 仅仅, 刚刚"
sector,"n. 行业, 防区, 扇形"
representative,"n. 代表, 销售代表, 典型, ..."
beneath,"prep. 在...下面, 配不上；adv. 在...."
faculty,"n. 学院, 全体教员, 全体教..."
merely,adv. 仅仅
liberal,"adj. 开明的, 自由派, 开..."
rural,adj. 乡村的
secretary,"n. 秘书, 大臣, 部长, 助理"
legislation,"n. 法律, 立法"
accuse,v. 指责
physician,n. 内科医生
virtually,"adv. 几乎, 虚拟地"
gay,"adj. 同性恋的, 与同性恋相..."
interaction,"n. 互动, 相互作用"
curriculum,n. 课程
assistance,n. 帮助
